order_id,customer_id,restaurant_id,order_date,order_time,order_status,order_channel,payment_method,promotion_id,subtotal,discount_amount,tax_amount,delivery_fee,total_amount,quarantine_reason
9985,13369,3,2024-11-08,20:08:00,Cancelled,Takeaway,Cash,,10788.64,1078.86,485.49,0,10195.27,order_date outside analysis period (2025-01-01 to 2025-12-31)
10403,28506,9,2024-12-06,14:18:00,Completed,Third-party Delivery,Card,,4627.62,0.0,231.38,80,4939.0,order_date outside analysis period (2025-01-01 to 2025-12-31)
14773,44258,8,2024-12-07,21:00:00,Completed,Website/App,,47.0,9046.31,121.44,446.24,0,9371.11,order_date outside analysis period (2025-01-01 to 2025-12-31)
14953,3174,17,2024-12-27,14:27:00,Cancelled,Takeaway,Cash,,8938.31,0.0,446.92,0,9385.23,order_date outside analysis period (2025-01-01 to 2025-12-31)
15496,40528,20,2024-11-14,18:28:00,Completed,Dine-in,Card,58.0,8620.96,38.14,429.14,0,9011.96,order_date outside analysis period (2025-01-01 to 2025-12-31)
15869,47487,17,2024-11-02,21:41:00,Completed,Third-party Delivery,Cash,,11563.39,0.0,578.17,80,12221.56,order_date outside analysis period (2025-01-01 to 2025-12-31)
19002,15182,20,2024-11-06,22:41:00,Completed,Third-party Delivery,,86.0,4470.78,114.34,217.82,120,4694.26,order_date outside analysis period (2025-01-01 to 2025-12-31)
20172,17093,12,2024-12-23,19:21:00,Completed,Dine-in,Card,,23206.28,0.0,1160.31,0,24366.59,order_date outside analysis period (2025-01-01 to 2025-12-31)
20904,17723,14,2024-11-20,16:15:00,Completed,Takeaway,Cash,,8169.3,0.0,408.46,0,8577.76,order_date outside analysis period (2025-01-01 to 2025-12-31)
21817,44017,6,2024-12-05,20:18:00,Completed,Third-party Delivery,Cash,94.0,14398.53,367.88,701.53,150,14882.18,order_date outside analysis period (2025-01-01 to 2025-12-31)
22360,27202,4,2024-11-14,20:38:00,Completed,Dine-in,Online Wallet,,5598.71,559.87,251.94,0,5290.78,order_date outside analysis period (2025-01-01 to 2025-12-31)
22659,26391,18,2024-11-28,19:06:00,Completed,Website/App,Card,,9243.86,1386.58,392.86,0,8250.14,order_date outside analysis period (2025-01-01 to 2025-12-31)
25520,3544,8,2024-12-26,21:03:00,Cancelled,Takeaway,Online Wallet,,7674.7,0.0,383.74,0,8058.44,order_date outside analysis period (2025-01-01 to 2025-12-31)
25562,34008,16,2024-12-03,14:00:00,Completed,Third-party Delivery,Online Wallet,,12657.94,0.0,632.9,120,13410.84,order_date outside analysis period (2025-01-01 to 2025-12-31)
28222,19489,4,2024-12-14,14:39:00,Completed,Takeaway,Online Wallet,,9656.77,965.68,434.55,0,9125.64,order_date outside analysis period (2025-01-01 to 2025-12-31)
31488,9497,19,2024-11-21,17:57:00,Completed,Website/App,Card,,3512.02,0.0,175.6,0,3687.62,order_date outside analysis period (2025-01-01 to 2025-12-31)
31764,33150,10,2024-11-09,18:20:00,Cancelled,Dine-in,Online Wallet,,6452.02,645.2,290.34,0,6097.16,order_date outside analysis period (2025-01-01 to 2025-12-31)
31820,41599,10,2024-11-02,22:45:00,Completed,Dine-in,Cash,,8421.61,842.16,378.97,0,7958.42,order_date outside analysis period (2025-01-01 to 2025-12-31)
32284,1356,3,2024-11-08,14:16:00,Completed,Dine-in,Card,,13944.51,697.23,662.36,0,13909.64,order_date outside analysis period (2025-01-01 to 2025-12-31)
32495,43416,13,2024-11-05,18:29:00,Completed,Third-party Delivery,Card,,9996.87,0.0,499.84,150,10646.71,order_date outside analysis period (2025-01-01 to 2025-12-31)
32557,21449,2,2024-11-18,13:42:00,Completed,Takeaway,Cash,,19411.74,0.0,970.59,0,20382.33,order_date outside analysis period (2025-01-01 to 2025-12-31)
32598,28689,7,2024-11-25,19:35:00,Completed,Takeaway,Card,,7813.83,0.0,390.69,0,8204.52,order_date outside analysis period (2025-01-01 to 2025-12-31)
34909,16064,8,2024-12-16,21:28:00,Completed,Website/App,Card,,5848.51,0.0,292.43,0,6140.94,order_date outside analysis period (2025-01-01 to 2025-12-31)
35797,20536,10,2024-12-19,21:20:00,Cancelled,Third-party Delivery,Card,,6716.46,0.0,335.82,0,7052.28,order_date outside analysis period (2025-01-01 to 2025-12-31)
36843,21802,16,2024-11-19,14:29:00,Completed,Website/App,Card,,12065.54,1809.83,512.79,0,10768.5,order_date outside analysis period (2025-01-01 to 2025-12-31)
36850,1139,20,2024-12-24,22:45:00,Completed,Dine-in,Cash,,5416.65,0.0,270.83,0,5687.48,order_date outside analysis period (2025-01-01 to 2025-12-31)
37834,29466,12,2024-12-26,21:53:00,Completed,Website/App,Cash,,25278.13,2527.81,1137.52,0,23887.84,order_date outside analysis period (2025-01-01 to 2025-12-31)
38145,26860,17,2024-11-09,20:34:00,Completed,Takeaway,Card,,13195.15,0.0,659.76,0,13854.91,order_date outside analysis period (2025-01-01 to 2025-12-31)
39352,2061,10,2024-12-20,17:46:00,Completed,Takeaway,Card,,5058.96,0.0,252.95,0,5311.91,order_date outside analysis period (2025-01-01 to 2025-12-31)
39503,49228,8,2024-12-21,21:07:00,Cancelled,Takeaway,Cash,,5377.19,0.0,268.86,0,5646.05,order_date outside analysis period (2025-01-01 to 2025-12-31)
39913,32545,19,2024-11-15,18:14:00,Completed,Third-party Delivery,Online Wallet,,3909.29,0.0,195.46,150,4254.75,order_date outside analysis period (2025-01-01 to 2025-12-31)
40063,49065,16,2024-11-17,14:03:00,Completed,Dine-in,Card,,11995.86,0.0,599.79,0,12595.65,order_date outside analysis period (2025-01-01 to 2025-12-31)
40301,6737,8,2024-12-27,20:52:00,Cancelled,Takeaway,Online Wallet,,8148.31,0.0,407.42,0,8555.73,order_date outside analysis period (2025-01-01 to 2025-12-31)
41215,35436,9,2024-11-28,16:11:00,Completed,Dine-in,Card,,4640.3,0.0,232.02,0,4872.32,order_date outside analysis period (2025-01-01 to 2025-12-31)
41266,47766,5,2024-12-28,13:05:00,Completed,Dine-in,Card,,20114.87,1005.74,955.46,0,20064.59,order_date outside analysis period (2025-01-01 to 2025-12-31)
41697,19755,3,2024-12-06,20:35:00,Cancelled,Third-party Delivery,Cash,,10340.29,517.01,491.16,150,10464.44,order_date outside analysis period (2025-01-01 to 2025-12-31)
42067,11921,4,2024-11-15,20:12:00,Completed,Website/App,Card,,5348.69,802.3,227.32,0,4773.71,order_date outside analysis period (2025-01-01 to 2025-12-31)
42488,41501,3,2024-11-23,19:22:00,Cancelled,Takeaway,Cash,9.0,10167.36,274.96,494.62,0,10387.02,order_date outside analysis period (2025-01-01 to 2025-12-31)
46037,22830,19,2024-11-21,12:29:00,Completed,Third-party Delivery,Cash,,3515.48,0.0,175.77,0,3691.25,order_date outside analysis period (2025-01-01 to 2025-12-31)
46403,9443,1,2024-11-19,12:50:00,Completed,Dine-in,Cash,,9639.28,0.0,481.96,0,10121.24,order_date outside analysis period (2025-01-01 to 2025-12-31)
46700,14774,10,2024-11-23,22:25:00,Cancelled,Takeaway,Card,,7311.42,365.57,347.29,0,7293.14,order_date outside analysis period (2025-01-01 to 2025-12-31)
46991,4042,10,2024-11-08,15:33:00,Completed,Takeaway,Online Wallet,,7986.54,0.0,399.33,0,8385.87,order_date outside analysis period (2025-01-01 to 2025-12-31)
47081,23916,6,2024-11-01,14:28:00,Completed,Website/App,Cash,100.0,13261.08,66.63,659.72,0,13854.17,order_date outside analysis period (2025-01-01 to 2025-12-31)
49388,17127,17,2024-12-26,22:49:00,Completed,Website/App,Online Wallet,,8894.73,889.47,400.26,0,8405.52,order_date outside analysis period (2025-01-01 to 2025-12-31)
49518,27558,4,2024-11-15,10:09:00,Completed,Takeaway,Card,,9490.46,1423.57,403.34,0,8470.23,order_date outside analysis period (2025-01-01 to 2025-12-31)
49636,990,2,2024-11-07,16:09:00,Completed,Website/App,Online Wallet,4.0,21822.33,1441.38,1019.05,0,21400.0,order_date outside analysis period (2025-01-01 to 2025-12-31)
54912,35888,7,2024-12-09,19:43:00,Completed,Third-party Delivery,Cash,,11122.7,0.0,556.13,0,11678.83,order_date outside analysis period (2025-01-01 to 2025-12-31)
55124,30018,7,2024-11-12,21:56:00,Completed,Third-party Delivery,Card,,12381.39,1238.14,557.16,0,11700.41,order_date outside analysis period (2025-01-01 to 2025-12-31)
55506,2447,14,2024-12-06,12:29:00,Completed,Dine-in,Card,,8078.64,403.93,383.74,0,8058.45,order_date outside analysis period (2025-01-01 to 2025-12-31)
56574,10247,13,2024-11-12,15:53:00,Completed,Dine-in,Card,,11909.66,1786.45,506.16,0,10629.37,order_date outside analysis period (2025-01-01 to 2025-12-31)
57621,22932,3,2024-12-22,11:42:00,Completed,Third-party Delivery,Cash,,9930.57,0.0,496.53,80,10507.1,order_date outside analysis period (2025-01-01 to 2025-12-31)
58324,17323,17,2024-11-03,19:58:00,Completed,Website/App,Card,,9014.84,450.74,428.21,0,8992.31,order_date outside analysis period (2025-01-01 to 2025-12-31)
58519,32943,11,2024-12-27,19:02:00,Completed,Third-party Delivery,Online Wallet,82.0,12484.75,151.75,616.65,80,13029.65,order_date outside analysis period (2025-01-01 to 2025-12-31)
59376,46079,14,2024-11-03,18:40:00,Completed,Dine-in,Online Wallet,,9453.95,472.7,449.06,0,9430.31,order_date outside analysis period (2025-01-01 to 2025-12-31)
60303,46564,14,2024-11-12,14:22:00,Cancelled,Website/App,Card,,7891.0,1183.65,335.37,0,7042.72,order_date outside analysis period (2025-01-01 to 2025-12-31)
62345,30764,20,2024-11-21,18:23:00,Completed,Third-party Delivery,Online Wallet,29.0,8013.66,139.82,393.69,0,8267.53,order_date outside analysis period (2025-01-01 to 2025-12-31)
63091,42007,19,2024-11-08,13:25:00,Cancelled,Third-party Delivery,Card,,2923.89,0.0,146.19,80,3150.08,order_date outside analysis period (2025-01-01 to 2025-12-31)
66194,15408,14,2024-11-18,20:38:00,Completed,Dine-in,Online Wallet,,8942.1,447.11,424.75,0,8919.74,order_date outside analysis period (2025-01-01 to 2025-12-31)
67872,7081,19,2024-12-28,14:07:00,Completed,Website/App,Card,,4578.31,686.75,194.58,0,4086.14,order_date outside analysis period (2025-01-01 to 2025-12-31)
67887,16980,15,2024-12-01,18:02:00,Completed,Third-party Delivery,Online Wallet,,20228.2,2022.82,910.27,120,19235.65,order_date outside analysis period (2025-01-01 to 2025-12-31)
69072,18477,10,2024-11-26,12:17:00,Completed,Takeaway,Cash,,7037.89,0.0,351.89,0,7389.78,order_date outside analysis period (2025-01-01 to 2025-12-31)
71555,47493,11,2024-12-04,20:30:00,Cancelled,Takeaway,Card,,10378.53,0.0,518.93,0,10897.46,order_date outside analysis period (2025-01-01 to 2025-12-31)
71912,2289,15,2024-11-09,21:21:00,Completed,Third-party Delivery,Cash,79.0,16355.07,2767.44,679.38,0,14267.01,order_date outside analysis period (2025-01-01 to 2025-12-31)
72355,27074,19,2024-12-20,21:02:00,Completed,Third-party Delivery,Cash,,2833.83,283.38,127.52,150,2827.97,order_date outside analysis period (2025-01-01 to 2025-12-31)
74318,36182,4,2024-11-21,21:36:00,Completed,Third-party Delivery,Cash,,5377.64,268.88,255.44,120,5484.2,order_date outside analysis period (2025-01-01 to 2025-12-31)
76071,45104,10,2024-11-06,13:19:00,Completed,Third-party Delivery,Card,,7690.32,0.0,384.52,0,8074.84,order_date outside analysis period (2025-01-01 to 2025-12-31)
77261,16202,16,2024-11-14,14:49:00,Completed,Website/App,Online Wallet,,12591.97,1259.2,566.64,0,11899.41,order_date outside analysis period (2025-01-01 to 2025-12-31)
77404,16625,18,2024-11-11,21:19:00,Completed,Third-party Delivery,Card,,5608.68,0.0,280.43,0,5889.11,order_date outside analysis period (2025-01-01 to 2025-12-31)
79358,38139,5,2024-11-20,12:14:00,Completed,Third-party Delivery,Card,,18118.78,0.0,905.94,120,19144.72,order_date outside analysis period (2025-01-01 to 2025-12-31)
79780,17779,7,2024-11-13,19:40:00,Cancelled,Takeaway,Cash,,14299.33,1429.93,643.47,0,13512.87,order_date outside analysis period (2025-01-01 to 2025-12-31)
82805,41520,2,2024-12-21,19:09:00,Cancelled,Dine-in,Online Wallet,,19226.32,0.0,961.32,0,20187.64,order_date outside analysis period (2025-01-01 to 2025-12-31)
83161,8951,1,2024-11-14,21:20:00,Completed,Dine-in,Cash,61.0,11975.2,134.56,592.03,0,12432.67,order_date outside analysis period (2025-01-01 to 2025-12-31)
83870,6470,6,2024-12-27,12:40:00,Completed,Third-party Delivery,Online Wallet,,11642.25,0.0,582.11,80,12304.36,order_date outside analysis period (2025-01-01 to 2025-12-31)
84344,3085,1,2024-11-07,19:03:00,Completed,Website/App,Cash,,10438.15,1043.82,469.72,0,9864.05,order_date outside analysis period (2025-01-01 to 2025-12-31)
84854,24892,13,2024-12-15,09:39:00,Completed,Third-party Delivery,Card,,10441.32,0.0,522.07,120,11083.39,order_date outside analysis period (2025-01-01 to 2025-12-31)
85114,46393,2,2024-11-19,14:43:00,Completed,Website/App,Cash,8.0,15025.17,337.53,734.38,0,15422.02,order_date outside analysis period (2025-01-01 to 2025-12-31)
88091,3862,17,2024-12-23,19:40:00,Completed,Dine-in,Cash,,11712.44,0.0,585.62,0,12298.06,order_date outside analysis period (2025-01-01 to 2025-12-31)
88911,27856,4,2024-12-08,16:26:00,Completed,Takeaway,Cash,,7596.58,1139.49,322.85,0,6779.94,order_date outside analysis period (2025-01-01 to 2025-12-31)
89817,42751,1,2024-12-08,21:28:00,Completed,Dine-in,Cash,61.0,12991.29,100.2,644.55,0,13535.64,order_date outside analysis period (2025-01-01 to 2025-12-31)
90026,23440,17,2024-12-28,21:38:00,Completed,Third-party Delivery,Online Wallet,,11588.71,0.0,579.44,150,12318.15,order_date outside analysis period (2025-01-01 to 2025-12-31)
92222,11993,20,2024-12-05,13:51:00,Completed,Third-party Delivery,Online Wallet,,6846.78,0.0,342.34,0,7189.12,order_date outside analysis period (2025-01-01 to 2025-12-31)
92797,35938,3,2024-11-20,20:54:00,Completed,Takeaway,Card,,10557.16,527.86,501.46,0,10530.76,order_date outside analysis period (2025-01-01 to 2025-12-31)
93296,11253,15,2024-11-27,18:02:00,Completed,Takeaway,Online Wallet,91.0,18852.45,331.11,926.07,0,19447.41,order_date outside analysis period (2025-01-01 to 2025-12-31)
94584,17557,13,2024-12-16,18:50:00,Completed,Third-party Delivery,Cash,,8070.58,0.0,403.53,120,8594.11,order_date outside analysis period (2025-01-01 to 2025-12-31)
97389,21136,1,2024-11-13,14:32:00,Completed,Third-party Delivery,Online Wallet,,11622.35,0.0,581.12,120,12323.47,order_date outside analysis period (2025-01-01 to 2025-12-31)
97449,12333,5,2024-12-16,21:31:00,Completed,Website/App,Card,,17985.56,1798.56,809.35,0,16996.35,order_date outside analysis period (2025-01-01 to 2025-12-31)
98811,20360,1,2024-11-12,21:38:00,Cancelled,Takeaway,Online Wallet,110.0,9793.3,1048.95,437.22,0,9181.57,order_date outside analysis period (2025-01-01 to 2025-12-31)
493,47934,18,2024-11-14,16:37:00,Completed,Takeaway,Card,,5997.69,0.0,299.88,0,6297.57,order_date outside analysis period (2025-01-01 to 2025-12-31)
852,11400,1,2024-12-21,12:00:00,Completed,Third-party Delivery,Cash,106.0,8918.58,134.46,439.21,120,9343.33,order_date outside analysis period (2025-01-01 to 2025-12-31)
1016,38290,5,2024-12-06,18:51:00,Completed,Third-party Delivery,Card,,22480.94,0.0,1124.05,0,23604.99,order_date outside analysis period (2025-01-01 to 2025-12-31)
2678,37914,3,2024-11-04,13:08:00,Completed,Takeaway,Cash,,11981.39,599.07,569.12,0,11951.44,order_date outside analysis period (2025-01-01 to 2025-12-31)
2760,10975,14,2024-11-09,18:22:00,Completed,Third-party Delivery,Card,,7638.79,0.0,381.94,80,8100.73,order_date outside analysis period (2025-01-01 to 2025-12-31)
2947,41162,18,2024-11-25,14:39:00,Completed,Website/App,Online Wallet,,7111.95,0.0,355.6,0,7467.55,order_date outside analysis period (2025-01-01 to 2025-12-31)
3488,23079,17,2024-11-22,20:08:00,Completed,Website/App,Online Wallet,,11817.17,0.0,590.86,0,12408.03,order_date outside analysis period (2025-01-01 to 2025-12-31)
3592,40283,6,2024-12-13,19:34:00,Cancelled,Third-party Delivery,Cash,,13972.59,2095.89,593.83,80,12550.53,order_date outside analysis period (2025-01-01 to 2025-12-31)
4413,40325,2,2024-11-10,21:39:00,Completed,Third-party Delivery,Cash,80.0,15755.02,1074.62,734.02,0,15414.42,order_date outside analysis period (2025-01-01 to 2025-12-31)
9263,10465,7,2024-11-12,18:56:00,Completed,Takeaway,Cash,77.0,10866.14,98.03,538.41,0,11306.52,order_date outside analysis period (2025-01-01 to 2025-12-31)
9734,39297,3,2024-11-18,19:54:00,Completed,Third-party Delivery,Online Wallet,,11368.9,0.0,568.45,80,12017.35,order_date outside analysis period (2025-01-01 to 2025-12-31)
9898,43576,16,2024-12-07,13:35:00,Completed,Dine-in,Card,,9716.53,0.0,485.83,0,10202.36,order_date outside analysis period (2025-01-01 to 2025-12-31)
9946,6269,5,2024-12-09,13:26:00,Completed,Takeaway,Online Wallet,,13310.71,0.0,665.54,0,13976.25,order_date outside analysis period (2025-01-01 to 2025-12-31)
9985,13369,3,2024-11-08,20:08:00,Cancelled,Takeaway,Cash,,10788.64,1078.86,485.49,0,10195.27,order_date outside analysis period (2025-01-01 to 2025-12-31)
10403,28506,9,2024-12-06,14:18:00,Completed,Third-party Delivery,Card,,4627.62,0.0,231.38,80,4939.0,order_date outside analysis period (2025-01-01 to 2025-12-31)
14773,44258,8,2024-12-07,21:00:00,Completed,Website/App,,47.0,9046.31,121.44,446.24,0,9371.11,order_date outside analysis period (2025-01-01 to 2025-12-31)
14953,3174,17,2024-12-27,14:27:00,Cancelled,Takeaway,Cash,,8938.31,0.0,446.92,0,9385.23,order_date outside analysis period (2025-01-01 to 2025-12-31)
15496,40528,20,2024-11-14,18:28:00,Completed,Dine-in,Card,58.0,8620.96,38.14,429.14,0,9011.96,order_date outside analysis period (2025-01-01 to 2025-12-31)
15869,47487,17,2024-11-02,21:41:00,Completed,Third-party Delivery,Cash,,11563.39,0.0,578.17,80,12221.56,order_date outside analysis period (2025-01-01 to 2025-12-31)
19002,15182,20,2024-11-06,22:41:00,Completed,Third-party Delivery,,86.0,4470.78,114.34,217.82,120,4694.26,order_date outside analysis period (2025-01-01 to 2025-12-31)
20172,17093,12,2024-12-23,19:21:00,Completed,Dine-in,Card,,23206.28,0.0,1160.31,0,24366.59,order_date outside analysis period (2025-01-01 to 2025-12-31)
20904,17723,14,2024-11-20,16:15:00,Completed,Takeaway,Cash,,8169.3,0.0,408.46,0,8577.76,order_date outside analysis period (2025-01-01 to 2025-12-31)
21817,44017,6,2024-12-05,20:18:00,Completed,Third-party Delivery,Cash,94.0,14398.53,367.88,701.53,150,14882.18,order_date outside analysis period (2025-01-01 to 2025-12-31)
22360,27202,4,2024-11-14,20:38:00,Completed,Dine-in,Online Wallet,,5598.71,559.87,251.94,0,5290.78,order_date outside analysis period (2025-01-01 to 2025-12-31)
22659,26391,18,2024-11-28,19:06:00,Completed,Website/App,Card,,9243.86,1386.58,392.86,0,8250.14,order_date outside analysis period (2025-01-01 to 2025-12-31)
25520,3544,8,2024-12-26,21:03:00,Cancelled,Takeaway,Online Wallet,,7674.7,0.0,383.74,0,8058.44,order_date outside analysis period (2025-01-01 to 2025-12-31)
25562,34008,16,2024-12-03,14:00:00,Completed,Third-party Delivery,Online Wallet,,12657.94,0.0,632.9,120,13410.84,order_date outside analysis period (2025-01-01 to 2025-12-31)
28222,19489,4,2024-12-14,14:39:00,Completed,Takeaway,Online Wallet,,9656.77,965.68,434.55,0,9125.64,order_date outside analysis period (2025-01-01 to 2025-12-31)
31488,9497,19,2024-11-21,17:57:00,Completed,Website/App,Card,,3512.02,0.0,175.6,0,3687.62,order_date outside analysis period (2025-01-01 to 2025-12-31)
31764,33150,10,2024-11-09,18:20:00,Cancelled,Dine-in,Online Wallet,,6452.02,645.2,290.34,0,6097.16,order_date outside analysis period (2025-01-01 to 2025-12-31)
31820,41599,10,2024-11-02,22:45:00,Completed,Dine-in,Cash,,8421.61,842.16,378.97,0,7958.42,order_date outside analysis period (2025-01-01 to 2025-12-31)
32284,1356,3,2024-11-08,14:16:00,Completed,Dine-in,Card,,13944.51,697.23,662.36,0,13909.64,order_date outside analysis period (2025-01-01 to 2025-12-31)
32495,43416,13,2024-11-05,18:29:00,Completed,Third-party Delivery,Card,,9996.87,0.0,499.84,150,10646.71,order_date outside analysis period (2025-01-01 to 2025-12-31)
32557,21449,2,2024-11-18,13:42:00,Completed,Takeaway,Cash,,19411.74,0.0,970.59,0,20382.33,order_date outside analysis period (2025-01-01 to 2025-12-31)
32598,28689,7,2024-11-25,19:35:00,Completed,Takeaway,Card,,7813.83,0.0,390.69,0,8204.52,order_date outside analysis period (2025-01-01 to 2025-12-31)
34909,16064,8,2024-12-16,21:28:00,Completed,Website/App,Card,,5848.51,0.0,292.43,0,6140.94,order_date outside analysis period (2025-01-01 to 2025-12-31)
35797,20536,10,2024-12-19,21:20:00,Cancelled,Third-party Delivery,Card,,6716.46,0.0,335.82,0,7052.28,order_date outside analysis period (2025-01-01 to 2025-12-31)
36843,21802,16,2024-11-19,14:29:00,Completed,Website/App,Card,,12065.54,1809.83,512.79,0,10768.5,order_date outside analysis period (2025-01-01 to 2025-12-31)
36850,1139,20,2024-12-24,22:45:00,Completed,Dine-in,Cash,,5416.65,0.0,270.83,0,5687.48,order_date outside analysis period (2025-01-01 to 2025-12-31)
37834,29466,12,2024-12-26,21:53:00,Completed,Website/App,Cash,,25278.13,2527.81,1137.52,0,23887.84,order_date outside analysis period (2025-01-01 to 2025-12-31)
38145,26860,17,2024-11-09,20:34:00,Completed,Takeaway,Card,,13195.15,0.0,659.76,0,13854.91,order_date outside analysis period (2025-01-01 to 2025-12-31)
39352,2061,10,2024-12-20,17:46:00,Completed,Takeaway,Card,,5058.96,0.0,252.95,0,5311.91,order_date outside analysis period (2025-01-01 to 2025-12-31)
39503,49228,8,2024-12-21,21:07:00,Cancelled,Takeaway,Cash,,5377.19,0.0,268.86,0,5646.05,order_date outside analysis period (2025-01-01 to 2025-12-31)
39913,32545,19,2024-11-15,18:14:00,Completed,Third-party Delivery,Online Wallet,,3909.29,0.0,195.46,150,4254.75,order_date outside analysis period (2025-01-01 to 2025-12-31)
40063,49065,16,2024-11-17,14:03:00,Completed,Dine-in,Card,,11995.86,0.0,599.79,0,12595.65,order_date outside analysis period (2025-01-01 to 2025-12-31)
40301,6737,8,2024-12-27,20:52:00,Cancelled,Takeaway,Online Wallet,,8148.31,0.0,407.42,0,8555.73,order_date outside analysis period (2025-01-01 to 2025-12-31)
41215,35436,9,2024-11-28,16:11:00,Completed,Dine-in,Card,,4640.3,0.0,232.02,0,4872.32,order_date outside analysis period (2025-01-01 to 2025-12-31)
41266,47766,5,2024-12-28,13:05:00,Completed,Dine-in,Card,,20114.87,1005.74,955.46,0,20064.59,order_date outside analysis period (2025-01-01 to 2025-12-31)
41697,19755,3,2024-12-06,20:35:00,Cancelled,Third-party Delivery,Cash,,10340.29,517.01,491.16,150,10464.44,order_date outside analysis period (2025-01-01 to 2025-12-31)
42067,11921,4,2024-11-15,20:12:00,Completed,Website/App,Card,,5348.69,802.3,227.32,0,4773.71,order_date outside analysis period (2025-01-01 to 2025-12-31)
42488,41501,3,2024-11-23,19:22:00,Cancelled,Takeaway,Cash,9.0,10167.36,274.96,494.62,0,10387.02,order_date outside analysis period (2025-01-01 to 2025-12-31)
46037,22830,19,2024-11-21,12:29:00,Completed,Third-party Delivery,Cash,,3515.48,0.0,175.77,0,3691.25,order_date outside analysis period (2025-01-01 to 2025-12-31)
46403,9443,1,2024-11-19,12:50:00,Completed,Dine-in,Cash,,9639.28,0.0,481.96,0,10121.24,order_date outside analysis period (2025-01-01 to 2025-12-31)
46700,14774,10,2024-11-23,22:25:00,Cancelled,Takeaway,Card,,7311.42,365.57,347.29,0,7293.14,order_date outside analysis period (2025-01-01 to 2025-12-31)
46991,4042,10,2024-11-08,15:33:00,Completed,Takeaway,Online Wallet,,7986.54,0.0,399.33,0,8385.87,order_date outside analysis period (2025-01-01 to 2025-12-31)
47081,23916,6,2024-11-01,14:28:00,Completed,Website/App,Cash,100.0,13261.08,66.63,659.72,0,13854.17,order_date outside analysis period (2025-01-01 to 2025-12-31)
49388,17127,17,2024-12-26,22:49:00,Completed,Website/App,Online Wallet,,8894.73,889.47,400.26,0,8405.52,order_date outside analysis period (2025-01-01 to 2025-12-31)
49518,27558,4,2024-11-15,10:09:00,Completed,Takeaway,Card,,9490.46,1423.57,403.34,0,8470.23,order_date outside analysis period (2025-01-01 to 2025-12-31)
49636,990,2,2024-11-07,16:09:00,Completed,Website/App,Online Wallet,4.0,21822.33,1441.38,1019.05,0,21400.0,order_date outside analysis period (2025-01-01 to 2025-12-31)
54912,35888,7,2024-12-09,19:43:00,Completed,Third-party Delivery,Cash,,11122.7,0.0,556.13,0,11678.83,order_date outside analysis period (2025-01-01 to 2025-12-31)
55124,30018,7,2024-11-12,21:56:00,Completed,Third-party Delivery,Card,,12381.39,1238.14,557.16,0,11700.41,order_date outside analysis period (2025-01-01 to 2025-12-31)
55506,2447,14,2024-12-06,12:29:00,Completed,Dine-in,Card,,8078.64,403.93,383.74,0,8058.45,order_date outside analysis period (2025-01-01 to 2025-12-31)
