dataset,check,value,details
pricing_history.csv,COLUMNS,7,
pricing_history.csv,MISSING_CELLS,0,
pricing_history.csv,DUPLICATE_ROWS,0,
pricing_history.csv,NULL_PRIMARY_KEY,0,price_history_id
pricing_history.csv,DUPLICATE_PRIMARY_KEY,0,price_history_id
pricing_history.csv,INVALID_NUMERIC_old_price,0,old_price
pricing_history.csv,NEGATIVE_old_price,0,old_price
pricing_history.csv,INVALID_NUMERIC_new_price,0,new_price
pricing_history.csv,NEGATIVE_new_price,0,new_price
pricing_history.csv,INVALID_DATE_effective_from,0,effective_from
pricing_history.csv,INVALID_DATE_effective_to,0,effective_to
promotions.csv,ROWS,120,
promotions.csv,COLUMNS,11,
promotions.csv,MISSING_CELLS,0,
promotions.csv,DUPLICATE_ROWS,0,
promotions.csv,NULL_PRIMARY_KEY,0,promotion_id
promotions.csv,DUPLICATE_PRIMARY_KEY,0,promotion_id
promotions.csv,INVALID_NUMERIC_discount_percentage,0,discount_percentage
promotions.csv,DISCOUNT_OUTSIDE_0_TO_100,0,Expected percentage range: 0-100
promotions.csv,INVALID_NUMERIC_minimum_order_value,0,minimum_order_value
promotions.csv,NEGATIVE_minimum_order_value,0,minimum_order_value
promotions.csv,INVALID_NUMERIC_usage_limit,0,usage_limit
promotions.csv,NEGATIVE_usage_limit,0,usage_limit
promotions.csv,INVALID_DATE_start_date,0,start_date
promotions.csv,INVALID_DATE_end_date,0,end_date
ratings.csv,ROWS,100000,
ratings.csv,COLUMNS,8,
ratings.csv,MISSING_CELLS,0,
ratings.csv,DUPLICATE_ROWS,0,
ratings.csv,NULL_PRIMARY_KEY,0,rating_id
ratings.csv,DUPLICATE_PRIMARY_KEY,0,rating_id
ratings.csv,INVALID_NUMERIC_rating,0,rating
ratings.csv,RATING_OUTSIDE_1_TO_5,0,Expected rating range: 1-5
ratings.csv,INVALID_DATE_review_date,0,review_date
inventory.csv,ROWS,50000,
inventory.csv,COLUMNS,10,
inventory.csv,MISSING_CELLS,0,
inventory.csv,DUPLICATE_ROWS,0,
inventory.csv,NULL_PRIMARY_KEY,0,inventory_id
inventory.csv,DUPLICATE_PRIMARY_KEY,0,inventory_id
inventory.csv,INVALID_NUMERIC_opening_stock,0,opening_stock
inventory.csv,NEGATIVE_opening_stock,0,opening_stock
inventory.csv,INVALID_NUMERIC_received_quantity,0,received_quantity
inventory.csv,NEGATIVE_received_quantity,0,received_quantity
inventory.csv,INVALID_NUMERIC_sold_quantity,0,sold_quantity
inventory.csv,NEGATIVE_sold_quantity,0,sold_quantity
inventory.csv,INVALID_NUMERIC_closing_stock,0,closing_stock
inventory.csv,NEGATIVE_closing_stock,0,closing_stock
inventory.csv,INVALID_NUMERIC_reorder_level,0,reorder_level
inventory.csv,NEGATIVE_reorder_level,0,reorder_level
inventory.csv,INVALID_DATE_inventory_date,0,inventory_date
inventory.csv,INVENTORY_BALANCE_MISMATCH,0,Expected closing = opening + received - sold
wastage.csv,ROWS,50000,
wastage.csv,COLUMNS,7,
wastage.csv,MISSING_CELLS,0,
wastage.csv,DUPLICATE_ROWS,0,
wastage.csv,NULL_PRIMARY_KEY,0,wastage_id
wastage.csv,DUPLICATE_PRIMARY_KEY,0,wastage_id
wastage.csv,INVALID_NUMERIC_quantity_wasted,0,quantity_wasted
wastage.csv,NEGATIVE_quantity_wasted,0,quantity_wasted
wastage.csv,INVALID_NUMERIC_estimated_cost,0,estimated_cost
wastage.csv,NEGATIVE_estimated_cost,0,estimated_cost
wastage.csv,INVALID_DATE_wastage_date,0,wastage_date
wastage.csv,NON_POSITIVE_WASTAGE_QUANTITY,0,Wastage quantity should be greater than zero
