month,city_area,orders,revenue
2025-04,Defence-19,310,1114075.55
2025-04,Defence-9,312,1473644.86
2025-04,East-13,306,2868387.83
2025-04,East-3,306,3368378.23
2025-04,Garden-16,343,4420884.34
2025-04,Garden-6,310,4789227.01
2025-04,Gulshan-18,309,2358982.75
2025-04,Gulshan-8,290,2128618.28
2025-04,Korangi-10,333,2184860.4
2025-04,Korangi-20,329,1768486.84
2025-04,North-1,318,3641296.76
2025-04,North-11,325,3820282.26
2025-04,South-12,316,6805302.68
2025-04,South-2,323,5455289.92
2025-04,West-14,274,2258016.91
2025-04,West-4,314,2436007.06
2025-05,Central-15,350,5986174.74
2025-05,Central-5,351,5776556.09
2025-05,Clifton-17,352,3961789.51
2025-05,Clifton-7,359,4306350.69
2025-05,Defence-19,325,1173472.29
2025-05,Defence-9,349,1669802.96
2025-05,East-13,326,3034174.54
2025-05,East-3,328,3597597.4
2025-05,Garden-16,332,4371271.53
2025-05,Garden-6,331,5027598.03
2025-05,Gulshan-18,350,2603541.11
2025-05,Gulshan-8,353,2619052.38
2025-05,Korangi-10,376,2465824.79
2025-05,Korangi-20,387,2084211.53
2025-05,North-1,354,4118754.19
2025-05,North-11,310,3684795.9
2025-05,South-12,332,7208028.57
2025-05,South-2,350,5946145.25
2025-05,West-14,340,2806627.21
2025-05,West-4,370,2861644.54
2025-06,Central-15,341,5869740.42
2025-06,Central-5,364,5954890.04
2025-06,Clifton-17,355,4043867.43
2025-06,Clifton-7,382,4658961.88
2025-06,Defence-19,387,1390385.53
2025-06,Defence-9,367,1743112.8
2025-06,East-13,365,3439044.25
2025-06,East-3,332,3650952.64
2025-06,Garden-16,371,4823948.0
2025-06,Garden-6,382,5774558.08
2025-06,Gulshan-18,387,2905120.55
2025-06,Gulshan-8,324,2390979.13
2025-06,Korangi-10,357,2348251.39
2025-06,Korangi-20,386,2133720.39
2025-06,North-1,374,4334888.93
2025-06,North-11,404,4749471.89
2025-06,South-12,358,7614991.51
2025-06,South-2,414,7071979.39
2025-06,West-14,375,3077625.34
2025-06,West-4,411,3183397.82
2025-07,Central-15,363,6255173.78
2025-07,Central-5,361,5935852.85
2025-07,Clifton-17,368,4189014.83
2025-07,Clifton-7,366,4379420.36
2025-07,Defence-19,387,1416387.92
2025-07,Defence-9,354,1656288.31
2025-07,East-13,347,3282534.62
2025-07,East-3,359,3863062.2
2025-07,Garden-16,370,4679665.31
2025-07,Garden-6,350,5312715.02
2025-07,Gulshan-18,390,2975137.55
2025-07,Gulshan-8,345,2549200.48
2025-07,Korangi-10,347,2298877.96
2025-07,Korangi-20,389,2144238.55
2025-07,North-1,360,4178083.15
2025-07,North-11,351,4083880.82
2025-07,South-12,343,7405535.23
2025-07,South-2,378,6397338.06
2025-07,West-14,364,2973716.37
2025-07,West-4,417,3296033.29
2025-08,Central-15,319,5434287.45
2025-08,Central-5,335,5618021.84
2025-08,Clifton-17,382,4323105.8
2025-08,Clifton-7,341,4166246.4
2025-08,Defence-19,360,1306924.55
2025-08,Defence-9,325,1539969.57
2025-08,East-13,367,3469513.23
2025-08,East-3,358,3951668.31
2025-08,Garden-16,360,4725363.88
2025-08,Garden-6,331,4998290.83
2025-08,Gulshan-18,366,2755242.32
2025-08,Gulshan-8,361,2705026.98
2025-08,Korangi-10,358,2306787.35
2025-08,Korangi-20,347,1905254.42
2025-08,North-1,382,4451985.55
2025-08,North-11,340,4012307.31
2025-08,South-12,349,7373195.18
2025-08,South-2,351,6022083.52
2025-08,West-14,360,2965526.88
2025-08,West-4,333,2595053.32
2025-09,Central-15,305,5225071.51
2025-09,Central-5,281,4696429.72
2025-09,Clifton-17,298,3424676.54
2025-09,Clifton-7,268,3261924.12
2025-09,Defence-19,285,1060082.38
2025-09,Defence-9,327,1570885.42
2025-09,East-13,341,3179567.87
2025-09,East-3,285,3099377.07
2025-09,Garden-16,324,4207281.42
2025-09,Garden-6,303,4557581.08
2025-09,Gulshan-18,297,2264775.56
2025-09,Gulshan-8,267,1947494.84
2025-09,Korangi-10,314,2145184.42
2025-09,Korangi-20,317,1711334.15
2025-09,North-1,279,3259991.62
2025-09,North-11,300,3507342.35
2025-09,South-12,313,6613336.0
2025-09,South-2,296,5061359.7
2025-09,West-14,304,2492084.41
2025-09,West-4,306,2337049.33
2025-10,Central-15,324,5580447.78
2025-10,Central-5,332,5642854.53
2025-10,Clifton-17,316,3626103.19
2025-10,Clifton-7,328,3921487.55
2025-10,Defence-19,340,1220055.72
2025-10,Defence-9,322,1526363.25
2025-10,East-13,330,3163485.18
2025-10,East-3,321,3474825.86
2025-10,Garden-16,319,4146921.46
2025-10,Garden-6,320,4834084.19
2025-10,Gulshan-18,360,2690656.02
2025-10,Gulshan-8,347,2552196.08
2025-10,Korangi-10,360,2384880.63
2025-10,Korangi-20,319,1770589.05
2025-10,North-1,355,4155859.74
2025-10,North-11,294,3448540.79
2025-10,South-12,328,6913037.17
2025-10,South-2,359,6207438.09
2025-10,West-14,304,2549181.81
2025-10,West-4,272,2090483.75
2025-11,Central-15,372,6550534.64
2025-11,Central-5,354,5963945.88
2025-11,Clifton-17,334,3809002.46
2025-11,Clifton-7,355,4381367.27
2025-11,Defence-19,327,1193806.55
2025-11,Defence-9,360,1709410.85
2025-11,East-13,325,2990863.01
2025-11,East-3,368,4054813.32
2025-11,Garden-16,356,4651086.64
2025-11,Garden-6,351,5344239.84
2025-11,Gulshan-18,361,2741672.21
2025-11,Gulshan-8,364,2660925.6
2025-11,Korangi-10,366,2458303.08
2025-11,Korangi-20,341,1850284.65
2025-11,North-1,358,4117774.51
2025-11,North-11,363,4248835.7
2025-11,South-12,368,7743305.84
2025-11,South-2,379,6522097.01
2025-11,West-14,340,2723116.05
2025-11,West-4,379,2941149.65
2025-12,Central-15,431,7449279.48
2025-12,Central-5,389,6517472.76
2025-12,Clifton-17,405,4611976.29
2025-12,Clifton-7,405,4805005.27
2025-12,Defence-19,384,1393876.46
2025-12,Defence-9,415,1964037.23
2025-12,East-13,458,4255676.34
2025-12,East-3,379,4181728.51
2025-12,Garden-16,424,5502776.73
2025-12,Garden-6,409,6222214.95
2025-12,Gulshan-18,410,3107827.64
2025-12,Gulshan-8,398,2934379.37
2025-12,Korangi-10,390,2580122.06
2025-12,Korangi-20,397,2210787.81
2025-12,North-1,414,4845617.49
2025-12,North-11,372,4366295.87
2025-12,South-12,390,8298573.84
2025-12,South-2,423,7384269.26
2025-12,West-14,409,3402076.25
2025-12,West-4,360,2745119.54
