order_id,customer_id,restaurant_id,order_date,total_amount,actual_high_value,order_hour,day_of_week_code,order_month,is_weekend,is_promo_order,channel_code,payment_code,basket_size,basket_quantity,avg_unit_price,discount_rate_percentage,total_orders,total_spend,python_predicted_high_value,pipeline_predicted_high_value,pipeline_probability,match,explanation
9704,42822,13,2025-08-03,8913.39,0,22,4,8,True,False,3,1,10,14,742.333,0.0,3.0,40205.93,0,0,0.0,True,
9780,6897,17,2025-06-19,13253.22,0,9,6,6,False,False,2,2,10,15,794.795,0.0,2.0,16502.69,0,0,0.0,True,
10445,5411,2,2025-11-01,17260.55,0,19,5,11,True,False,0,0,10,13,1242.589,0.0,1.0,17260.55,0,0,0.03333333333333333,True,
10703,3016,13,2025-11-21,6725.91,0,12,3,11,False,False,1,2,10,12,627.5409999999999,14.999940286861918,2.0,20552.78,0,0,0.0,True,
11519,32590,4,2025-06-10,5484.28,0,15,0,6,False,False,3,1,10,11,512.109,4.999981811634005,4.0,32204.35,0,0,0.0,True,
11880,15280,13,2025-06-07,8205.69,0,20,5,6,True,True,1,2,10,13,606.6020000000001,2.2247634108868524,2.0,12628.2,0,0,0.0,True,
12673,7670,4,2025-04-18,4999.64,0,18,3,4,False,False,1,2,10,12,405.723,0.0,4.0,35319.48,0,0,0.0,True,
12813,12734,20,2025-11-04,4989.51,0,18,0,11,False,False,3,0,10,15,387.212,10.0,1.0,4989.51,0,0,0.0,True,
12830,49367,7,2025-01-29,9394.77,0,17,2,1,False,False,3,1,10,12,816.624,10.000040235134124,1.0,9394.77,0,0,0.0,True,
13012,7711,18,2025-12-01,9196.94,0,13,1,12,False,False,0,2,10,18,516.213,9.999989724841532,3.0,25793.74,0,0,0.0,True,
13999,4178,20,2025-03-17,5851.81,0,14,1,3,False,False,0,0,10,15,365.343,0.0,4.0,41914.76,0,0,0.0,True,
14006,10143,4,2025-06-22,7667.48,0,21,4,6,True,False,1,2,10,17,425.318,0.0,1.0,7667.48,0,0,0.0,True,
14064,19363,9,2025-10-06,3602.63,0,22,1,10,False,False,3,1,10,12,331.507,9.999973769184562,3.0,27446.01,0,0,0.0,True,
14501,30721,16,2025-08-20,12143.92,0,12,2,8,False,False,3,2,10,13,822.7030000000001,0.0,1.0,12143.92,0,0,0.0,True,
15214,11502,6,2025-11-09,16026.25,0,21,4,11,True,True,2,0,10,17,1022.105,12.186180926119086,4.0,52242.5,0,0,0.09333333333333334,True,
15279,31199,9,2025-08-03,5040.36,0,21,4,8,True,False,1,0,10,15,322.96,5.000009895131398,1.0,5040.36,0,0,0.0,True,
15452,42216,20,2025-08-06,6882.97,0,21,2,8,False,True,1,2,10,14,478.09,2.671799927544409,2.0,23936.93,0,0,0.0,True,
16090,30078,15,2025-06-07,20961.66,1,21,5,6,True,False,3,2,10,17,1205.755,0.0,2.0,25015.89,1,1,0.8933333333333333,True,
16162,29728,1,2025-07-26,10888.48,0,19,5,7,True,True,2,2,10,14,708.823,1.6464569930948556,2.0,16733.33,0,0,0.0,True,
16164,9060,18,2025-07-05,6379.17,0,17,5,7,True,False,2,3,10,12,509.984,0.0,3.0,26905.73,0,0,0.0,True,
16509,9961,13,2025-12-22,7140.07,0,19,1,12,False,False,2,2,10,13,530.6020000000001,5.000007135120634,1.0,7140.07,0,0,0.0,True,
16636,1935,1,2025-03-20,10151.03,0,21,6,3,False,True,3,2,10,17,687.7230000000001,11.279835621316002,1.0,10151.03,0,0,0.0,True,
16710,42530,19,2025-05-20,4415.6,0,13,0,5,False,False,3,2,10,18,232.757,0.0,4.0,46421.69,0,0,0.0,True,
17093,11146,10,2025-12-25,8039.92,0,22,6,12,False,True,3,0,10,17,453.293,1.458103024695092,1.0,8039.92,0,0,0.0,True,
17545,39167,13,2025-05-13,9184.89,0,22,0,5,False,False,0,0,10,13,671.058,0.0,1.0,9184.89,0,0,0.0,True,
17694,43470,10,2025-07-05,7956.43,0,14,5,7,True,False,0,2,10,18,412.779,0.0,1.0,7956.43,0,0,0.0,True,
17964,37633,11,2025-03-23,10517.52,0,14,4,3,True,False,1,2,10,13,774.654,0.0,1.0,10517.52,0,0,0.0,True,
18210,17603,7,2025-02-02,15058.12,0,12,4,2,True,False,2,0,10,19,897.608,15.000014817580764,4.0,50292.18,0,0,0.04,True,
18833,26402,1,2025-08-17,10445.87,0,14,4,8,True,True,1,2,10,15,804.559,15.71281635917526,2.0,21187.07,0,0,0.0,True,
18917,12329,10,2025-06-12,7229.67,0,17,6,6,False,True,0,1,10,14,524.719,2.7156098112354465,2.0,20034.67,0,0,0.0,True,
19421,7237,15,2025-07-19,24882.57,1,20,5,7,True,True,3,0,10,21,1183.867,6.257468981845009,1.0,24882.57,1,1,0.9333333333333333,True,
19951,21122,8,2025-06-15,8234.83,0,21,4,6,True,False,0,1,10,14,543.85,0.0,5.0,50514.23,0,0,0.0,True,
20083,19455,13,2025-03-02,12087.39,0,16,4,3,True,False,3,1,10,19,636.688,0.0,2.0,18455.96,0,0,0.013333333333333334,True,
20244,9643,11,2025-09-13,9884.95,0,22,5,9,True,False,2,2,10,14,756.4590000000001,9.999990362012449,2.0,13927.66,0,0,0.0,True,
21444,37226,17,2025-07-19,10106.78,0,16,5,7,True,False,1,2,10,14,683.677,0.0,2.0,16023.36,0,0,0.0,True,
22645,36642,6,2025-12-06,14136.08,0,22,5,12,True,False,1,0,10,16,941.099,9.999993314976258,6.0,81151.47,0,0,0.04,True,
22665,32485,13,2025-09-22,9742.74,0,13,1,9,False,False,3,2,10,15,613.6310000000001,0.0,3.0,31833.120000000003,0,0,0.0,True,
23376,37463,6,2025-10-11,15908.1,0,22,5,10,True,False,1,1,10,15,1050.117,0.0,2.0,27525.07,0,0,0.03333333333333333,True,
23889,32867,1,2025-03-10,9491.15,0,17,1,3,False,True,0,0,10,14,736.8489999999999,15.894326266210868,4.0,45273.84,0,0,0.006666666666666667,True,
23938,15999,10,2025-10-20,7056.23,0,14,1,10,False,False,0,0,10,17,429.032,9.999986607579308,1.0,7056.23,0,0,0.0,True,
24528,26922,12,2025-08-10,16377.85,0,21,4,8,True,False,0,2,10,11,1456.446,4.99997259254432,3.0,29491.48,0,0,0.14666666666666667,True,
26146,17930,13,2025-01-25,14089.11,0,20,5,1,True,False,3,2,10,19,656.887,0.0,3.0,43358.2,0,0,0.02,True,
26380,37838,19,2025-03-29,3715.53,0,18,5,3,True,False,2,2,10,13,262.26300000000003,0.0,2.0,11011.52,0,0,0.0,True,
26608,20068,16,2025-05-24,14445.72,0,19,5,5,True,False,0,0,10,16,882.492,0.0,3.0,31416.94,0,0,0.0,True,
26744,49624,15,2025-11-06,20193.77,1,21,6,11,False,True,2,0,10,15,1354.005,6.448764926750751,2.0,29953.13,1,1,0.74,True,
27233,48232,8,2025-12-03,8034.48,0,18,2,12,False,False,0,2,10,16,493.99300000000005,10.0,2.0,18999.38,0,0,0.0,True,
27601,38977,10,2025-03-09,5307.5,0,19,4,3,True,False,0,0,10,13,450.437,15.000050447469052,4.0,33692.33,0,0,0.0,True,
27608,6755,9,2025-08-19,4897.05,0,20,0,8,False,False,0,1,10,17,270.94300000000004,0.0,3.0,29169.49,0,0,0.0,True,
27622,41130,9,2025-08-25,5498.14,0,13,1,8,False,True,0,3,10,15,334.297,5.768704740789795,1.0,5498.14,0,0,0.0,True,
27664,47353,12,2025-11-05,23705.14,1,15,2,11,False,False,2,2,10,14,1550.209,0.0,3.0,52448.71,1,1,0.96,True,
28104,32122,18,2025-02-05,8009.54,0,20,2,2,False,False,2,2,10,15,562.053,9.999952330104492,2.0,20989.18,0,0,0.0,True,
28476,41853,13,2025-03-29,10613.31,0,21,5,3,True,False,2,2,10,17,642.4060000000001,5.000028599919538,1.0,10613.31,0,0,0.0,True,
28792,19374,13,2025-06-17,7093.57,0,13,0,6,False,False,1,2,10,13,631.869,9.999973356140476,2.0,20875.58,0,0,0.0,True,
29352,48338,3,2025-12-07,12513.51,0,9,4,12,True,False,3,1,10,15,773.018,0.0,4.0,37356.32,0,0,0.0,True,
29500,21130,8,2025-11-15,7382.69,0,19,5,11,True,False,3,2,10,16,499.171,0.0,3.0,46439.17,0,0,0.0,True,
30044,32177,10,2025-09-16,6320.48,0,22,0,9,False,False,3,0,10,15,422.884,5.000063128124842,4.0,58827.87,0,0,0.0,True,
30166,31266,12,2025-11-15,20813.61,1,20,5,11,True,False,3,0,10,16,1321.255,5.000004792535913,2.0,27124.14,1,1,0.9,True,
30385,32585,5,2025-05-10,18579.63,1,19,5,5,True,False,3,0,10,14,1292.085,5.0,2.0,32723.980000000003,0,0,0.4,True,
30623,3339,18,2025-07-12,9948.83,0,18,5,7,True,False,1,1,10,19,525.492,5.000015039448473,1.0,9948.83,0,0,0.0,True,
30910,27849,7,2025-04-15,11503.97,0,22,0,4,False,False,3,0,10,15,833.5690000000001,15.0,2.0,26502.93,0,0,0.013333333333333334,True,
31228,8713,16,2025-05-26,13407.73,0,18,1,5,False,False,2,1,10,15,825.8709999999999,0.0,1.0,13407.73,0,0,0.0,True,
32151,43255,13,2025-06-27,8205.25,0,18,3,6,False,True,0,0,10,13,803.115,1.1868423115732931,3.0,22177.31,0,0,0.0,True,
32577,36507,3,2025-07-24,9936.74,0,18,6,7,False,True,1,1,10,14,690.913,5.084874956747623,2.0,17724.32,0,0,0.0,True,
33013,6984,12,2025-05-23,20151.97,1,13,3,5,False,False,0,1,10,12,1565.339,0.0,3.0,43144.08,1,1,0.9266666666666666,True,
33050,4620,1,2025-01-17,14033.69,0,20,3,1,False,False,1,0,10,16,852.823,0.0,1.0,14033.69,0,0,0.0,True,
33242,33675,12,2025-03-10,20078.26,1,15,1,3,False,False,0,2,10,13,1449.969,0.0,1.0,20078.26,1,1,0.9466666666666667,True,
33464,4920,14,2025-12-02,8136.83,0,21,0,12,False,False,0,0,9,11,656.3344444444444,0.0,5.0,60225.98,0,0,0.013333333333333334,True,
33943,44962,7,2025-12-20,11534.66,0,18,5,12,True,False,2,2,10,13,804.422,0.0,3.0,36159.55,0,0,0.0,True,
34301,36779,17,2025-12-16,9786.92,0,13,0,12,False,False,1,2,10,13,759.766,0.0,3.0,40362.14,0,0,0.0,True,
34758,18063,12,2025-04-16,20173.45,1,21,2,4,False,False,3,2,10,14,1378.78,0.0,4.0,60041.670000000006,1,1,0.9,True,
34764,14661,2,2025-03-24,15219.33,0,18,1,3,False,False,2,2,10,15,983.374,0.0,1.0,15219.33,0,0,0.0,True,
35440,33272,20,2025-09-09,5644.7,0,19,0,9,False,False,2,0,10,16,317.092,0.0,5.0,66687.63,0,0,0.006666666666666667,True,
36231,44574,6,2025-06-27,15695.91,0,14,3,6,False,False,1,1,10,15,1077.477,4.999984112104987,2.0,21490.26,0,0,0.0,True,
36369,29555,4,2025-12-14,7971.78,0,22,4,12,True,False,2,1,10,15,728.756,0.0,6.0,54802.59,0,0,0.0,True,
36657,29444,3,2025-08-23,11050.77,0,18,5,8,True,False,0,0,10,14,776.096,4.999972920423958,2.0,22798.63,0,0,0.006666666666666667,True,
36684,30037,7,2025-03-18,13277.45,0,13,0,3,False,False,0,2,10,16,806.7909999999999,0.0,1.0,13277.45,0,0,0.0,True,
37043,24931,10,2025-11-10,6466.31,0,18,1,11,False,False,2,0,10,15,425.5,0.0,1.0,6466.31,0,0,0.0,True,
37056,21902,8,2025-02-09,10712.34,0,16,4,2,True,False,3,0,9,16,552.0511111111111,0.0,4.0,41416.92,0,0,0.013333333333333334,True,
38158,14615,6,2025-07-06,14345.06,0,21,4,7,True,False,3,0,10,13,1023.407,0.0,2.0,36021.8,0,0,0.02,True,
38773,4316,19,2025-02-05,3937.06,0,19,2,2,False,False,1,2,10,17,236.141,5.000088676515672,2.0,11102.31,0,0,0.0,True,
40242,36374,9,2025-07-05,5279.41,0,20,5,7,True,False,3,1,10,16,369.607,15.000059168496662,3.0,26646.050000000003,0,0,0.006666666666666667,True,
40712,42229,1,2025-12-17,12865.62,0,22,2,12,False,False,1,1,10,17,775.3059999999999,9.999992654841453,3.0,21309.25,0,0,0.0,True,
40899,16623,4,2025-08-25,7110.96,0,20,1,8,False,False,1,2,10,14,500.162,0.0,1.0,7110.96,0,0,0.0,True,
40975,36358,3,2025-12-01,11427.81,0,19,1,12,False,False,2,1,10,17,715.4970000000001,9.999974928818736,1.0,11427.81,0,0,0.0,True,
41086,16892,1,2025-07-10,12387.32,0,18,6,7,False,False,1,1,10,14,819.057,0.0,4.0,33704.98,0,0,0.0,True,
41677,23968,6,2025-05-03,15726.59,0,15,5,5,True,False,2,2,10,15,980.66,0.0,1.0,15726.59,0,0,0.0,True,
41850,34862,8,2025-12-28,7556.41,0,14,4,12,True,False,2,2,10,13,509.549,0.0,5.0,71701.6,0,0,0.0,True,
41924,11492,7,2025-05-21,13637.4,0,19,2,5,False,False,1,1,10,14,886.174,0.0,1.0,13637.4,0,0,0.0,True,
43239,28766,7,2025-01-23,11661.44,0,21,6,1,False,False,2,1,10,14,826.4889999999999,5.000012964148942,2.0,21969.870000000003,0,0,0.0,True,
43271,34117,19,2025-02-16,4337.3,0,19,4,2,True,False,2,0,10,17,236.858,0.0,4.0,41828.27,0,0,0.0,True,
43448,17385,6,2025-01-04,17533.49,0,22,5,1,True,False,1,0,10,17,1032.667,0.0,4.0,38992.15,0,0,0.48,True,
43504,26581,4,2025-11-19,7713.39,0,14,2,11,False,True,1,0,10,15,550.0310000000001,0.473645348561519,2.0,14021.12,0,0,0.0,True,
43681,29720,14,2025-06-20,6549.28,0,21,3,6,False,False,1,2,10,13,527.5889999999999,5.000076153342371,1.0,6549.28,0,0,0.0,True,
43695,32336,15,2025-11-10,21712.22,1,13,1,11,False,False,2,1,10,18,1208.799,0.0,4.0,65902.7,1,1,1.0,True,
43819,37274,17,2025-10-19,8263.9,0,12,4,10,True,False,3,2,10,11,787.295,10.000034305827302,3.0,28737.91,0,0,0.0,True,
43957,904,16,2025-12-07,13081.25,0,22,4,12,True,False,1,2,10,14,901.848,4.999988561868472,3.0,51122.56,0,0,0.013333333333333334,True,
43987,10985,2,2025-03-26,21278.05,1,16,2,3,False,False,1,1,10,18,1171.656,0.0,4.0,52195.0,1,1,0.9333333333333333,True,
44204,42348,11,2025-08-29,13224.37,0,19,3,8,False,False,2,2,10,18,721.946,5.000030355186032,3.0,40466.98,0,0,0.006666666666666667,True,
44291,9879,16,2025-12-26,14439.41,0,18,3,12,False,False,1,2,10,16,863.399,0.0,4.0,45115.83,0,0,0.0,True,
44524,9779,6,2025-09-23,17971.64,0,18,0,9,False,False,0,0,10,16,1028.188,0.0,3.0,33786.77,0,0,0.02666666666666667,True,
44644,39586,3,2025-11-21,12645.56,0,15,3,11,False,True,2,2,10,15,786.729,0.1557165857460594,3.0,37006.93,0,0,0.006666666666666667,True,
44754,40595,1,2025-01-12,12638.48,0,22,4,1,True,False,1,2,10,16,746.479,0.0,1.0,12638.48,0,0,0.0,True,
44785,41466,19,2025-02-26,2726.3,0,14,2,2,False,False,0,0,10,11,239.926,0.0,2.0,9375.17,0,0,0.0,True,
44978,13323,20,2025-05-05,6784.1,0,18,1,5,False,False,1,1,10,21,355.821,14.999940799054892,2.0,27093.160000000003,0,0,0.02666666666666667,True,
44984,9167,3,2025-07-18,11720.3,0,18,3,7,False,False,2,0,10,14,768.057,0.0,2.0,22290.39,0,0,0.0,True,
44992,32369,3,2025-03-08,12164.26,0,18,5,3,True,False,1,0,10,17,810.607,14.999977988791894,3.0,29385.16,0,0,0.0,True,
45630,18362,17,2025-12-24,9911.55,0,11,2,12,False,False,1,1,10,12,801.697,0.0,3.0,36719.36,0,0,0.0,True,
45781,40289,9,2025-06-15,7031.27,0,12,4,6,True,True,2,1,10,24,306.401,6.09685113959301,2.0,32490.66,0,0,0.07333333333333333,True,
45888,5914,9,2025-10-16,5490.0,0,21,6,10,False,False,2,1,10,17,312.13800000000003,9.99992960894248,3.0,28136.32,0,0,0.0,True,
46227,15085,18,2025-07-10,11430.31,0,22,6,7,False,True,1,1,10,18,575.976,1.021965902344066,3.0,40357.23,0,0,0.0,True,
46272,48330,14,2025-11-01,7884.92,0,21,5,11,True,False,2,0,10,16,518.687,9.99995131948535,4.0,39523.97,0,0,0.0,True,
46383,39057,20,2025-09-04,3918.6,0,19,6,9,False,False,0,2,10,15,277.036,10.000072347208723,4.0,23484.13,0,0,0.0,True,
46640,39226,7,2025-12-10,11847.55,0,22,2,12,False,False,2,1,10,14,800.124,4.999983046594739,3.0,32153.95,0,0,0.0,True,
46803,26898,8,2025-12-27,6367.43,0,12,5,12,True,False,1,2,10,13,488.175,0.0,2.0,16211.41,0,0,0.0,True,
46937,38530,9,2025-07-15,4185.81,0,22,0,7,False,False,1,0,10,13,305.19,0.0,2.0,15514.56,0,0,0.0,True,
47109,14306,10,2025-02-14,5561.51,0,18,3,2,False,False,3,1,10,11,466.925,0.0,1.0,5561.51,0,0,0.0,True,
47145,42864,13,2025-02-24,10044.63,0,14,1,2,False,False,1,0,10,14,656.684,0.0,2.0,22817.87,0,0,0.0,True,
47441,24687,14,2025-11-02,9300.76,0,19,4,11,True,False,2,0,10,14,640.329,0.0,3.0,43144.07,0,0,0.0,True,
47537,25141,7,2025-06-21,8859.65,0,19,5,6,True,False,1,2,10,11,814.339,4.999971852710865,1.0,8859.65,0,0,0.0,True,
48335,26612,17,2025-07-26,12792.89,0,19,5,7,True,False,0,2,10,16,735.297,0.0,2.0,22676.36,0,0,0.0,True,
48783,8832,5,2025-12-18,14504.83,0,21,6,12,False,False,3,1,10,10,1381.412,0.0,5.0,63856.83,0,0,0.15333333333333332,True,
49188,8325,19,2025-01-17,3303.46,0,22,3,1,False,False,0,0,10,15,231.718,9.999942787179751,4.0,25437.97,0,0,0.006666666666666667,True,
49354,8938,18,2025-11-22,9153.62,0,21,5,11,True,False,2,2,10,16,557.938,5.000005539435797,1.0,9153.62,0,0,0.0,True,
49494,29417,10,2025-04-22,7721.24,0,18,0,4,False,False,1,0,10,15,490.654,0.0,4.0,28248.76,0,0,0.0,True,
49567,15218,17,2025-08-18,10102.34,0,22,1,8,False,True,3,2,10,12,778.409,1.86833339113016,2.0,18616.36,0,0,0.0,True,
49610,28910,4,2025-06-29,7988.3,0,21,4,6,True,False,2,0,10,14,521.605,0.0,1.0,7988.3,0,0,0.0,True,
49738,14830,3,2025-10-28,8703.76,0,13,0,10,False,False,3,1,10,15,645.3439999999999,9.999967427877175,2.0,17101.0,0,0,0.0,True,
49777,47279,16,2025-08-14,13078.88,0,13,6,8,False,False,2,1,10,14,950.388,4.999969138850483,4.0,48648.75,0,0,0.006666666666666667,True,
49974,14232,14,2025-07-17,8611.27,0,13,6,7,False,False,0,0,10,16,579.62,4.999971040849776,2.0,29828.24,0,0,0.0,True,
50148,16569,16,2025-07-12,14823.44,0,14,5,7,True,False,0,0,10,16,878.211,0.0,3.0,44847.44,0,0,0.02666666666666667,True,
50519,15036,7,2025-10-05,10906.49,0,14,4,10,True,False,1,1,10,13,813.8779999999999,0.0,2.0,24969.68,0,0,0.0,True,
50549,2703,6,2025-08-02,13157.64,0,18,5,8,True,True,0,1,10,15,917.501,7.49430286816538,2.0,25658.47,0,0,0.0,True,
51251,22948,16,2025-06-20,9680.37,0,12,3,6,False,True,1,2,10,11,883.71,3.981686595408527,5.0,31374.000000000004,0,0,0.0,True,
52165,120,9,2025-06-23,5057.66,0,20,1,6,False,False,1,1,10,17,295.75100000000003,5.000059167629784,3.0,35212.96,0,0,0.006666666666666667,True,
52544,32650,16,2025-12-21,11443.3,0,12,4,12,True,False,1,1,10,12,902.866,0.0,3.0,28105.41,0,0,0.006666666666666667,True,
54307,1688,9,2025-07-28,3514.64,0,19,1,7,False,False,2,0,10,14,271.127,14.999974014770004,3.0,10543.41,0,0,0.0,True,
54447,23042,19,2025-01-14,4426.2,0,14,0,1,False,False,0,1,10,20,221.878,4.999898586750021,2.0,18550.01,0,0,0.04,True,
54587,44791,1,2025-10-20,10970.98,0,21,1,10,False,False,3,2,10,14,768.238,0.0,1.0,10970.98,0,0,0.0,True,
54592,49172,16,2025-07-09,8841.66,0,20,2,7,False,False,3,1,10,11,813.75,4.999988718182454,2.0,14982.15,0,0,0.0,True,
54736,10530,13,2025-04-12,7648.18,0,18,5,4,True,False,3,0,9,12,652.25,15.000017504163075,6.0,84717.21,0,0,0.02666666666666667,True,
55325,31109,19,2025-12-20,2933.86,0,18,5,12,True,False,2,1,10,13,249.893,15.0,6.0,60264.0,0,0,0.0,True,
55358,24731,8,2025-02-24,5087.08,0,21,1,2,False,True,0,1,10,11,476.059,7.547573067499179,2.0,15314.28,0,0,0.006666666666666667,True,
55514,27756,20,2025-12-13,6203.22,0,18,5,12,True,False,0,1,10,15,451.32700000000006,0.0,3.0,31284.29,0,0,0.0,True,
55680,12660,15,2025-05-16,21949.85,1,18,3,5,False,False,1,2,10,19,1116.273,0.0,1.0,21949.85,1,1,0.98,True,
55875,26261,5,2025-09-01,18305.45,0,12,1,9,False,True,0,0,10,15,1265.999,5.449039183273242,2.0,20829.31,0,0,0.3333333333333333,True,
56370,36867,11,2025-01-27,11628.12,0,11,1,1,False,False,0,0,10,16,760.289,10.000008126850384,1.0,11628.12,0,0,0.0,True,
56470,4631,14,2025-01-09,7343.34,0,10,6,1,False,False,2,0,10,14,521.857,0.0,2.0,17862.309999999998,0,0,0.0,True,
56487,36613,2,2025-10-18,17313.72,0,21,5,10,True,False,0,2,10,17,1121.407,10.0,2.0,22707.59,0,0,0.26666666666666666,True,
56820,13612,1,2025-05-10,12646.26,0,14,5,5,True,False,0,2,9,14,885.5222222222222,5.000015775408662,6.0,82541.61,0,0,0.013333333333333334,True,
57238,6879,9,2025-03-14,5375.51,0,22,3,3,False,False,3,0,10,15,341.391,5.000018556387294,2.0,14222.46,0,0,0.0,True,
57412,32060,15,2025-12-30,21048.49,1,15,0,12,False,False,0,0,10,16,1299.442,0.0,2.0,24768.88,1,1,0.8666666666666667,True,
57952,34318,20,2025-12-16,6971.27,0,20,0,12,False,False,0,2,10,18,360.339,0.0,2.0,19078.32,0,0,0.0,True,
58144,30480,18,2025-07-29,7368.61,0,19,0,7,False,False,2,0,10,15,507.36800000000005,0.0,2.0,14254.93,0,0,0.0,True,
58424,3759,1,2025-04-29,14675.49,0,15,0,4,False,False,3,0,10,18,1055.452,4.99997621033328,2.0,21493.86,1,1,0.62,True,
58784,29425,11,2025-07-04,12620.84,0,12,3,7,False,True,2,2,9,14,899.8677777777777,5.845116167604248,3.0,42597.350000000006,0,0,0.0,True,
59121,22048,7,2025-04-02,12147.28,0,13,2,4,False,False,1,0,10,17,819.903,15.0,2.0,28425.980000000003,0,0,0.006666666666666667,True,
60201,2553,7,2025-02-20,12145.96,0,13,6,2,False,False,1,2,10,16,780.413,5.0,4.0,41901.07,0,0,0.013333333333333334,True,
60671,48963,8,2025-03-30,7261.61,0,20,4,3,True,False,2,0,10,14,554.013,10.00001315860461,1.0,7261.61,0,0,0.0,True,
61245,1156,14,2025-10-26,8287.25,0,21,4,10,True,False,3,1,10,15,548.701,0.0,2.0,14512.3,0,0,0.0,True,
62718,39406,2,2025-10-03,17463.68,0,19,3,10,False,False,0,2,10,15,1184.846,0.0,1.0,17463.68,0,0,0.04666666666666667,True,
62847,13020,2,2025-06-03,16185.26,0,19,0,6,False,True,1,2,10,13,1203.523,0.492549463133996,1.0,16185.26,0,0,0.013333333333333334,True,
62873,8,12,2025-12-30,21986.22,1,18,0,12,False,False,3,1,10,14,1530.827,0.0,2.0,41489.240000000005,1,1,0.9533333333333334,True,
