promotion_id,promotion_name,restaurant_id,discount_percentage,start_date,end_date,promo_orders,control_orders,promo_avg_order_value,control_avg_order_value,aov_lift_percentage,promo_discount_spent,incremental_revenue_estimate,efficiency_ratio,promotion_trap
106,Promotion 106,1,25,2025-06-01,2025-08-28,102,802,11422.11,11742.83,-2.73,70292.75,-32713.03,-0.465,True
104,Promotion 104,17,10,2025-04-01,2025-04-28,46,225,11140.95,11857.29,-6.04,28619.92,-32951.68,-1.151,True
94,Promotion 094,6,25,2025-08-01,2025-09-28,75,467,14876.72,15319.85,-2.89,58678.82,-33234.77,-0.566,True
75,Promotion 075,17,20,2025-07-01,2025-09-28,218,760,11391.76,11551.89,-1.39,161158.82,-34909.02,-0.217,True
10,Promotion 010,11,20,2025-09-01,2025-10-28,61,433,11358.36,11937.37,-4.85,43380.34,-35319.42,-0.814,True
2,Promotion 002,10,25,2025-03-01,2025-03-28,64,216,6199.65,6753.95,-8.21,27358.0,-35474.74,-1.297,True
114,Promotion 114,14,15,2025-07-01,2025-07-28,88,242,7974.65,8382.77,-4.87,30096.6,-35914.0,-1.193,True
70,Promotion 070,5,30,2025-04-01,2025-04-28,56,237,16419.18,17076.74,-3.85,62129.6,-36823.27,-0.593,True
91,Promotion 091,15,25,2025-02-01,2025-02-28,74,228,17072.48,17575.07,-2.86,78738.11,-37191.65,-0.472,True
84,Promotion 084,20,10,2025-10-01,2025-11-28,165,473,5394.6,5638.68,-4.33,42059.24,-40274.34,-0.958,True
89,Promotion 089,3,20,2025-06-01,2025-06-28,32,227,9974.95,11278.51,-11.56,19589.94,-41714.1,-2.129,True
48,Promotion 048,2,30,2025-04-01,2025-05-28,60,498,16579.75,17279.26,-4.05,67594.92,-41970.35,-0.621,True
61,Promotion 061,1,15,2025-03-01,2025-05-28,180,734,11554.52,11791.02,-2.01,103394.14,-42570.01,-0.412,True
55,Promotion 055,8,20,2025-07-01,2025-08-28,91,489,7118.36,7607.9,-6.43,37743.54,-44548.97,-1.18,True
73,Promotion 073,4,30,2025-04-01,2025-05-28,169,490,7581.14,7873.13,-3.71,86838.98,-49345.55,-0.568,True
99,Promotion 099,11,5,2025-03-01,2025-04-28,75,467,11376.87,12077.23,-5.8,35551.99,-52527.23,-1.477,True
80,Promotion 080,2,10,2025-03-01,2025-05-28,82,744,16551.05,17221.49,-3.89,53750.75,-54975.57,-1.023,True
97,Promotion 097,18,25,2025-04-01,2025-06-28,206,759,7408.28,7688.59,-3.65,93400.69,-57742.86,-0.618,True
59,Promotion 059,17,20,2025-11-01,2025-12-28,140,503,11214.32,11628.14,-3.56,101823.97,-57935.04,-0.569,True
63,Promotion 063,3,5,2025-11-01,2025-12-28,92,537,10577.06,11217.24,-5.71,51524.09,-58895.97,-1.143,True
21,Promotion 021,13,25,2025-02-01,2025-02-28,76,209,8845.82,9654.74,-8.38,43949.38,-61478.19,-1.399,True
16,Promotion 016,7,25,2025-04-01,2025-06-28,254,781,12061.51,12311.86,-2.03,187414.44,-63591.11,-0.339,True
26,Promotion 026,3,30,2025-06-01,2025-07-28,122,510,10621.85,11171.23,-4.92,84189.1,-67024.76,-0.796,True
62,Promotion 062,13,30,2025-11-01,2025-12-28,189,553,9031.52,9413.19,-4.05,115326.43,-72135.66,-0.625,True
7,Promotion 007,6,30,2025-10-01,2025-12-28,174,784,14943.16,15370.95,-2.78,180969.92,-74434.15,-0.411,True
72,Promotion 072,16,25,2025-05-01,2025-06-28,116,528,12725.56,13370.01,-4.82,99756.73,-74755.84,-0.749,True
6,Promotion 006,2,5,2025-06-01,2025-07-28,181,576,16784.06,17204.75,-2.45,128719.33,-76144.1,-0.592,True
27,Promotion 027,5,25,2025-06-01,2025-07-28,166,529,16237.77,16726.27,-2.92,167930.95,-81091.0,-0.483,True
13,Promotion 013,11,25,2025-02-01,2025-04-28,92,676,11094.62,11985.01,-7.43,72113.95,-81915.98,-1.136,True
98,Promotion 098,16,30,2025-06-01,2025-07-28,118,564,12304.6,13134.32,-6.32,109061.24,-97906.37,-0.898,True
65,Promotion 065,17,30,2025-03-01,2025-05-28,202,721,11138.2,11628.31,-4.21,172106.73,-99002.78,-0.575,True
38,Promotion 038,12,15,2025-02-01,2025-03-28,152,432,21056.74,21931.38,-3.99,152313.34,-132944.91,-0.873,True
4,Promotion 004,2,20,2025-08-01,2025-10-28,163,734,16630.99,17592.99,-5.47,154941.6,-156806.96,-1.012,True
22,Promotion 022,15,25,2025-03-01,2025-05-28,183,732,16662.65,17555.45,-5.09,235110.32,-163383.66,-0.695,True
23,Promotion 023,12,25,2025-08-01,2025-10-28,263,689,20615.99,21539.84,-4.29,390297.75,-242970.53,-0.623,True
